,x,y,prf_size,prf_ampl,bold_bsl,surr_ampl,surr_size,r2,size ratio,suppression index,ecc,polar,roi,session,ses,subject,fwhmax,halfmax,fwmin,min_profile
863,0.6475385173366499,-0.46726100872528975,2.1356721340068368,0.07223904057486087,0.0,0.06208632150369771,2.355256356413168,0.7089391211196696,1.1028173842369515,1.045276452872252,0.798523000113035,-0.6250731658843586,v1,2,placebo,001,3.2432432174682617,8.448448181152344,0.005075894296169281,-0.002215391956269741
971,1.0205561225339772,-2.892214518384134,1.466042139307368,0.009229673766881247,0.0,0.00222821687432948,3.4776617867334325,0.6955857544519521,2.372143128420889,1.3584788687646445,3.0669919497112397,-1.2315730369752698,v1,2,placebo,001,3.0030031204223633,8.128128051757812,0.0035003172233700752,-0.0009277446661144495
980,2.360427603665032,-3.3441602344681525,2.166260763324531,0.07722309988181682,0.0,0.06714528359680622,2.321512926255016,0.7985582394895463,1.0716682707635907,0.9985941709261272,4.0932903813365025,-0.9561645286698285,v1,2,placebo,001,3.563563585281372,9.00900936126709,0.005038514733314514,-0.0013321582227945328
981,2.641407469045126,-2.9381895573185277,2.0834840515889126,0.11467399692869375,0.0,0.10366600573582964,2.1830364557964663,0.7844760268188762,1.0477816972640768,0.9924600438793786,3.9509481510471662,-0.8385386808652017,v1,2,placebo,001,3.4834835529327393,8.688688278198242,0.0055035315454006195,-0.0012687118723988533
982,1.545836664672641,-2.605582148161928,1.8367592627389773,0.11730025689644662,0.0,0.11027873350972191,1.8884541923412668,0.7368247909879139,1.0281446407545003,0.9938051403125416,3.0296318793982815,-1.0353335385847369,v1,2,placebo,001,3.083083152770996,7.647647857666016,0.0035103708505630493,-0.0007636453956365585
989,2.3368619745544406,-2.382293546362622,1.8856203574322654,0.10863616401130423,0.0,0.10044835418146546,1.9570290635953689,0.8048296548605933,1.0378701395971053,0.9959887603711461,3.337101501177253,-0.7950249214369313,v1,2,placebo,001,3.083083152770996,7.807807922363281,0.004093468189239502,-0.0009949048981070518
990,0.7757453990691988,-2.1402032501000607,1.6071535997423565,0.029545367047914,0.0,0.017785447604376156,2.076340451674003,0.7412871450635876,1.291936534259614,1.004749431627389,2.2764557706917774,-1.223061666821676,v1,2,placebo,001,2.8428428173065186,7.247247219085693,0.005879228003323078,-0.001552846748381853
1001,1.2926250348774697,-2.182869688828404,1.408883395015634,0.014793968445414338,0.0,0.004389718562369183,2.672862555067332,0.6815664166538926,1.8971495898975173,1.0679603813728336,2.5368877703197263,-1.0361557373292098,v1,2,placebo,001,2.7627627849578857,7.407407283782959,0.005201440304517746,-0.0012135884026065469
1007,1.3719690322703408,-2.00181748011726,1.1196839895260633,0.013663481392316573,0.0,0.0017860209538182444,3.137666326606078,0.6749905218547114,2.8022784606701223,1.0264735367764142,2.4268440924813923,-0.9699624323276481,v1,2,placebo,001,2.4424424171447754,6.846847057342529,0.005937656387686729,-0.0008573545492254198
1008,0.8977871557121673,-1.9890579346009034,1.3872399239408222,0.01923063845874802,0.0,0.006221417062500554,2.5464382748597014,0.671351665086151,1.835614900431837,1.0900809789316586,2.18228624248987,-1.146809507403574,v1,2,placebo,001,2.682682752609253,7.1671671867370605,0.006503704469650984,-0.001627379679121077
